block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3652,1086,958,7,0,86,15
3652,1325,1226,6,0,66,2
3652,1779,1598,37,3,85,24
3652,1204,1087,11,0,85,2
3652,1337,1228,10,1,72,8
3661,789,650,5,0,130,0
3661,1084,888,9,1,160,6
3661,812,694,21,0,79,7
3661,971,793,22,0,134,5
3661,1041,914,9,2,90,5
3662,2631,2359,18,1,201,6
3662,967,899,8,0,43,3
3662,1946,1749,8,0,155,10
3662,1940,1700,4,0,197,6
3662,813,684,9,0,97,3
3671,927,732,5,0,159,6
3671,1186,1065,3,0,104,3
3671,782,651,7,3,99,1
3671,1064,974,6,0,74,0
3672,827,712,6,0,94,3
3672,1155,1047,11,0,72,4
3672,1732,1389,150,2,125,32
3672,812,679,5,0,106,2
3672,792,680,7,0,85,0
3672,1145,947,20,0,140,11
3672,839,735,10,3,56,8
3681,989,909,10,4,41,0
3681,2707,1752,204,1,616,69
3681,1381,1074,64,6,184,25
3681,1024,916,15,0,76,7
3681,2335,1665,220,6,303,80
3681,1292,1025,84,0,128,38
3682,1357,1197,23,1,90,16
3682,698,583,27,1,47,20
3682,663,567,11,0,23,46
3682,1576,1100,178,6,166,78
3683,1136,761,112,2,96,128
3683,1003,686,73,3,69,123
3683,867,622,51,3,99,69
3683,1111,860,102,2,81,51
3683,1228,823,95,5,109,155
3684,1140,719,107,3,107,144
3684,3729,2702,180,6,673,53
3684,1304,879,87,0,279,24
3684,1284,1190,23,0,50,11
3684,660,518,38,0,59,33
3685,988,597,53,3,103,192
3685,1016,683,51,9,105,124
3685,1293,868,52,2,177,158
3686,689,585,21,0,18,55
3686,761,561,36,5,20,109
3686,1082,715,63,1,40,214
3686,1454,1064,75,3,73,210
3686,1210,925,68,3,76,90
3687,1212,800,120,6,55,187
3687,1250,799,88,9,30,269
3688,594,286,66,7,33,166
3688,983,654,74,1,81,125
3688,1152,1007,35,2,58,41
3688,924,754,62,2,59,37
3688,1088,651,122,5,88,188
3689,2788,2360,77,4,238,36
3689,814,740,1,12,45,7
3689,2395,1819,143,0,343,50
3689,804,752,8,0,35,1
3689,2774,1807,408,5,386,86
3689,770,536,98,1,68,52
3689,776,585,53,0,89,30
3690,1528,1254,51,2,174,17
3691,784,683,15,0,41,24
3691,820,721,30,2,36,25
3691,722,674,13,2,14,11
3691,1493,1376,34,0,52,11
3691,984,893,30,4,27,20
3701,1148,1015,30,2,61,19
3701,1302,1181,21,4,42,20
3701,2273,1928,85,1,142,82
3701,1765,1429,84,4,154,43
3701,1082,932,29,0,87,14
3701,1697,1262,81,2,283,34
3701,800,635,20,2,89,21
3701,1762,1462,44,3,179,32
3701,1410,1131,59,0,126,49
3702,1098,1023,16,0,31,6
3702,1271,1102,24,1,75,17
3702,1388,1195,37,2,108,14
3702,853,777,17,4,14,15
3702,951,863,24,1,26,16
3702,967,904,10,2,28,9
3702,1378,1263,18,3,61,21
3703,223,145,6,1,38,14
3703,1484,1165,48,2,144,43
3703,845,631,51,1,84,32
3703,1048,920,29,0,42,26
3703,629,549,7,1,25,24
3703,609,470,37,0,69,19
3703,806,682,37,0,44,9
3704,903,805,12,1,57,5
3704,1210,1039,38,1,79,32
3704,597,515,14,0,37,17
3704,764,673,25,1,32,14
3704,604,479,27,1,66,9
3704,1048,916,20,0,81,7
3731,795,655,26,5,90,2
3731,999,795,40,2,111,17
3731,931,801,16,1,82,22
3731,872,715,30,0,86,19
3731,1158,927,33,0,131,28
3732,1067,867,30,1,129,23
3732,900,729,29,0,108,9
3732,855,679,19,0,123,17
3732,1569,1232,41,1,197,66
3733,775,682,6,0,70,5
3733,1182,951,43,0,145,8
3733,842,651,36,0,94,23
3734,2088,1765,41,6,192,31
3734,1116,957,26,0,93,11
3735,725,635,2,1,62,8
3735,1625,1390,26,0,160,7
3735,1027,943,1,1,50,10
3735,2810,2414,43,3,243,28
3736,2677,2133,110,2,322,38
3736,1937,1630,31,2,171,16
3736,1412,1252,20,2,113,6
3737,783,707,8,3,48,3
3737,1212,1068,25,2,66,8
3737,1074,953,9,0,78,7
3737,721,639,7,0,46,1
3738,2012,1589,38,1,296,17
3738,1769,1427,63,1,224,7
3738,1479,1197,33,0,216,8
3738,663,572,6,0,70,9
3739,2063,1606,57,0,356,23
3739,1713,1406,23,2,234,2
3739,1554,1243,22,0,237,12
3739,1043,866,21,0,142,6
3740,1415,1065,29,0,295,6
3740,2492,2006,153,10,216,39
3740,1330,988,27,0,266,20
3741,2041,1453,67,4,422,37
3741,1519,1153,60,0,258,13
3741,1087,748,56,2,218,28
3742,945,775,18,1,131,8
3742,1783,1527,40,2,152,15
3742,1466,1223,44,0,156,14
3743,1192,1099,20,1,51,3
3743,1356,1210,11,1,100,8
3743,946,831,10,0,75,4
3744,1237,1095,13,1,103,4
3744,849,741,14,0,53,5
3744,938,813,5,1,99,2
3744,1681,1400,34,0,204,4
3744,1038,910,21,1,59,15
3745,790,590,68,3,99,6
3745,1239,955,54,1,168,29
3745,782,685,8,1,68,3
3745,802,649,15,4,101,8
3745,726,675,3,1,21,6
3746,1416,1185,32,2,150,24
3746,1216,998,38,3,99,64
3746,1274,1022,17,1,157,39
3746,923,768,39,5,66,18
3747,2640,2108,80,3,353,45
3747,1837,1493,33,1,258,8
3748,1323,1115,63,4,100,12
3748,2262,1807,80,1,331,17
3748,1153,911,47,1,176,3
3821,1389,1169,44,0,134,13
3821,926,819,18,1,69,4
3821,802,717,16,0,64,0
3821,821,720,15,0,63,9
3821,973,865,5,0,93,3
3822,1499,1332,42,8,64,18
3822,1260,1153,25,1,52,7
3822,1056,943,41,0,39,11
3822,1343,1244,17,0,50,11
3823,763,704,12,5,16,13
3823,2415,2170,40,4,128,24
3823,909,839,6,0,33,5
3823,1481,1368,16,2,60,6
3824,1476,1359,20,1,38,29
3824,1798,1679,20,4,52,15
3824,1249,1187,2,0,42,5
3825,1716,1525,39,0,119,6
3825,1108,947,37,3,75,20
3825,1594,1416,38,0,76,24
3826,1883,1249,49,1,471,57
3826,813,567,46,0,151,19
3826,1573,1248,51,4,183,48
3826,539,445,25,2,34,20
3826,824,688,19,0,92,10
3826,1424,1192,28,5,148,11
3826,1372,1277,21,1,40,3
3831,2610,1522,251,13,49,459
3831,1607,771,132,13,13,428
3831,2156,1056,189,2,36,614
3831,2767,1254,515,19,27,770
3832,1870,953,120,14,35,608
3832,1137,810,66,7,34,109
3832,1208,624,73,8,16,399
3832,1831,1222,128,11,98,274
3833,1554,830,104,12,49,452
3833,1488,1275,61,0,66,62
3834,1692,1068,117,1,165,244
3834,1644,938,144,18,67,348
3834,1348,735,118,8,45,327
3834,856,637,58,3,34,87
3835,1884,1151,147,6,241,258
3835,1290,908,79,2,100,152
3835,1085,662,58,8,141,154
3835,2479,2071,119,2,62,136
3835,1294,1046,59,4,93,52
3836,1542,1291,41,2,125,49
3836,681,212,180,3,41,209
3836,2107,1670,82,4,170,130
3836,1808,1473,99,2,149,52
3837,963,882,0,0,57,3
3837,566,428,28,1,69,15
3837,2616,2075,147,2,111,197
3837,1068,911,32,0,58,33
3838,1153,964,37,1,95,29
3838,1049,853,34,1,48,74
3838,832,742,21,0,35,22
3838,1410,1186,48,8,77,41
3838,916,816,18,1,37,13
3839,871,783,36,3,41,7
3839,825,769,12,0,17,6
3839,1394,1275,29,4,58,6
3839,1257,1117,22,1,86,18
3839,1347,1218,39,0,44,10
3839,1934,1629,98,2,108,54
3839,2504,2126,54,3,230,46
3839,1379,1168,45,2,91,48
3839,1344,1166,28,4,96,17
3840,1437,1131,57,4,148,65
3840,1976,1043,184,5,384,254
3840,757,686,13,0,38,9
3840,2782,1975,71,1,549,108
3851,1462,1243,26,0,94,66
3851,3856,3337,64,0,363,23
3851,1399,1280,26,5,36,36
3852,1667,1484,40,2,72,45
3852,901,668,39,3,49,107
3852,2501,1954,47,3,382,66
3852,2491,2016,70,2,341,24
3852,1030,885,46,6,38,35
3852,1286,1111,33,2,77,35
3861,853,804,1,0,35,6
3861,1900,1797,7,0,66,8
3861,1366,1286,8,1,36,5
3871,878,815,11,2,20,12
3871,836,805,3,0,17,5
3871,1764,1699,8,0,28,11
3871,779,740,10,0,17,0
3872,2776,2562,43,7,107,25
3872,784,749,2,0,9,19
3872,863,821,5,0,20,5
3872,1041,988,10,1,19,11
3872,1158,1103,15,1,29,3
3872,906,864,1,0,28,0
3872,1762,1679,10,2,43,14
3881,2837,2257,7,1,502,24
3881,1267,1043,3,1,199,1
3881,892,723,14,0,113,7
3882,1423,1313,39,2,22,16
3882,2635,2410,61,5,84,9
3882,3153,2490,479,9,95,45
3883,1282,578,66,8,263,286
3883,1264,717,70,7,188,239
3883,2157,1643,131,0,131,181
3883,717,241,46,1,242,128
9800,0,0,0,0,0,0
