block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3213,1735,1526,45,0,80,47
3213,620,509,20,4,11,60
3213,1735,1302,72,7,29,226
3214,2398,2178,28,3,115,26
3214,899,740,22,3,71,49
3215,3571,2841,128,20,73,391
3215,1918,1422,47,18,24,322
3215,1409,1134,41,0,110,77
3216,3162,2529,77,5,235,235
3216,1327,1183,20,2,74,31
3216,1301,1142,25,0,53,43
3216,1758,1212,35,2,297,131
3221,1198,1158,4,2,18,3
3221,1083,1017,7,0,40,13
3221,924,844,9,2,25,20
3221,1466,1382,11,1,33,29
3222,1304,1124,41,0,29,56
3222,2383,2229,24,1,53,33
3223,1870,1701,43,6,39,43
3223,2803,2465,56,10,106,96
3223,1417,1323,25,1,17,24
3224,1757,1617,21,0,44,36
3224,1406,1198,33,3,14,86
3224,1452,1416,15,1,13,3
3231,2043,1891,15,3,82,9
3231,872,831,1,1,28,3
3231,1113,1036,17,1,27,8
3231,2562,2411,11,6,81,5
3241,1972,1815,15,1,116,2
3241,1265,1194,5,1,40,2
3241,1524,1450,11,0,25,0
3241,947,890,5,3,37,4
3241,2488,2318,15,5,101,2
3241,728,661,3,0,33,8
3251,1473,1268,56,1,68,34
3251,1401,1226,54,0,48,23
3251,922,772,61,4,44,14
3251,802,700,32,7,12,13
3251,936,750,130,1,14,15
3251,1302,1018,92,4,73,57
3251,591,526,14,2,11,18
3261,956,906,8,0,20,5
3261,2940,2777,13,2,86,13
3261,2478,2348,15,0,69,7
3261,2674,2535,7,5,84,11
3261,1598,1545,3,0,35,0
3271,1800,1733,9,8,21,6
3271,1786,1742,4,0,15,1
3271,1087,1027,17,4,13,1
3271,1522,1485,4,1,18,4
3271,1724,1620,25,3,33,17
3271,1589,1542,0,0,13,6
3271,780,760,1,1,5,2
3271,1209,1173,0,3,16,4
3281,1992,1891,3,1,74,0
3281,1187,1140,4,2,24,0
3301,1045,1011,3,0,20,1
3301,2140,2051,10,3,49,11
3301,1437,1385,4,6,25,0
3301,1567,1504,4,0,41,3
3301,2042,1989,5,1,33,2
3302,2628,2493,15,3,66,16
3302,1789,1676,13,2,57,10
3302,1068,1000,15,4,37,6
3302,1176,1065,15,4,69,4
3311,1309,1235,4,0,45,5
3311,1702,1507,32,2,116,11
3311,1296,1239,5,1,31,3
3311,1949,1836,17,1,44,12
3311,2267,2166,16,6,52,5
3311,1459,1359,11,1,77,0
3312,2367,2234,20,2,86,10
3312,2979,2755,25,0,118,24
3313,2385,2179,13,3,121,16
3313,2541,2404,17,1,78,13
3313,2071,1955,14,1,63,18
3321,1276,1096,18,0,141,0
3321,2269,1973,27,3,237,4
3321,1223,1065,19,0,111,7
3321,1204,999,15,1,161,3
3322,3034,1857,305,12,707,83
3322,2576,2147,33,8,333,8
3322,676,616,9,0,43,0
3322,2090,1763,29,2,232,27
3323,1222,1052,26,1,127,4
3323,992,857,6,1,115,0
3323,1054,965,8,1,75,2
3323,2054,1221,211,3,531,44
3323,1355,1228,8,1,108,0
3324,1959,1723,32,5,170,6
3324,1514,1223,55,1,180,16
3331,2266,1724,186,1,284,38
3331,1015,926,7,1,75,0
3331,1146,992,53,0,80,11
3331,909,860,5,0,20,16
3331,2063,1921,13,3,87,17
3332,1514,1410,32,2,46,13
3332,1001,910,25,4,46,7
3332,1172,1021,42,0,42,30
3332,1677,1437,85,2,120,15
3333,1153,908,76,3,68,74
3333,1374,1146,83,2,54,53
3333,1536,1356,62,3,33,41
3334,1716,1214,99,4,253,80
3334,1230,1114,28,1,51,13
3334,868,808,21,0,27,5
3334,1387,1088,118,3,89,56
3334,1028,944,26,0,25,10
3335,744,644,25,0,40,30
3335,2171,1981,53,9,74,28
3335,2086,1848,92,3,77,34
3335,1633,1309,67,2,97,84
3335,1640,1417,62,2,58,55
3336,1976,975,169,11,702,50
3336,861,792,2,0,53,7
3336,615,556,4,0,38,9
3336,1010,864,44,1,61,18
3336,985,888,36,0,33,13
3336,1344,1054,77,4,142,29
3341,1723,1619,13,3,67,6
3341,2069,2007,4,2,31,1
3341,2926,2561,78,4,212,30
3342,981,947,4,1,22,4
3342,905,847,3,2,24,7
3342,976,914,9,0,42,6
3342,1106,1062,3,1,20,1
3343,1847,1796,9,0,24,7
3343,1058,1024,1,0,31,0
3343,1935,1810,14,0,79,6
3343,2765,2660,3,1,79,3
3344,1232,1168,4,0,43,1
3344,1769,1646,9,3,87,1
3344,1456,1226,14,0,187,9
3344,598,559,1,0,15,4
3344,1401,1295,19,1,68,5
3351,1222,1195,5,0,14,4
3351,977,934,4,0,26,3
3351,545,494,17,4,20,3
3351,1229,1142,19,5,21,21
3351,982,957,4,0,10,3
3351,773,755,6,0,8,3
3352,850,833,4,1,5,4
3352,804,777,11,0,7,0
3352,780,760,7,1,6,1
3352,1532,1389,27,0,84,16
3352,1671,1601,7,0,47,2
3353,1969,1826,28,1,69,8
3353,1114,1019,11,3,51,7
3353,769,703,14,5,15,21
3353,735,643,7,1,44,17
3353,3040,2884,10,4,86,8
3353,846,810,2,0,26,5
3354,865,826,14,1,12,8
3354,1922,1824,21,1,49,1
3354,1393,1322,8,1,39,14
3354,914,879,3,2,21,1
3361,965,901,13,1,30,3
3361,1285,1190,23,0,50,5
3361,872,806,9,2,34,6
3361,802,755,8,0,20,1
3361,694,662,6,0,15,2
3361,742,668,28,1,24,8
3362,817,778,6,0,20,5
3362,924,879,3,2,33,0
3362,1025,1000,3,0,15,2
3362,942,895,6,1,25,1
3362,599,549,13,1,24,9
3362,765,725,6,0,16,0
3362,1070,994,19,0,36,1
3363,744,702,6,0,28,2
3363,677,646,3,0,12,2
3363,903,876,8,0,13,0
3363,720,694,4,2,11,3
3363,1398,1308,7,4,37,12
3363,1187,1098,27,2,43,2
3363,1035,932,38,1,27,14
3364,937,765,82,0,39,23
3364,1933,1595,91,1,181,27
3364,1390,1093,83,0,140,38
3364,813,680,66,0,30,18
3364,1272,1165,30,0,53,4
3364,1275,1153,39,3,44,10
3364,1197,1085,29,1,22,37
3371,1387,1314,17,2,39,2
3371,1708,1554,41,8,42,28
3371,560,488,7,2,48,1
3371,2002,1859,27,4,71,17
3371,2480,2325,19,0,94,8
3372,1802,1672,39,0,70,10
3372,701,674,9,0,8,7
3372,689,607,9,2,25,33
3372,1220,1152,12,0,42,8
3372,1604,1525,16,0,33,9
3372,1086,988,15,2,27,35
3372,939,869,9,0,54,1
3373,851,750,37,5,20,30
3373,710,633,17,0,22,13
3373,1254,1146,22,0,51,16
3373,1852,1661,76,0,72,18
3373,592,550,7,1,9,9
3381,1430,1174,15,5,184,6
3381,1534,1265,21,0,193,4
3382,2938,2141,76,2,604,28
3382,931,760,25,0,110,2
3383,707,664,2,0,33,0
3383,1229,1143,27,0,45,4
3383,1244,1170,0,3,45,1
3384,1656,1464,3,0,159,9
3384,1220,1174,1,0,34,5
3384,1409,1281,14,1,92,1
3384,1460,1226,2,2,186,8
